,id,group_id,local_bkg,x_init,y_init,flux_init,x_fit,y_fit,flux_fit,x_err,y_err,flux_err,npixfit,group_size,qfit,cfit,flags
28,29,29,25.91562467462876,1321.9107587280005,1020.2744157127847,20381.441017756042,1321.859164384701,1020.3701119093398,33516.01556853029,0.24909431879191307,0.2491124422750135,1245.2437084234336,625,1,0.8062036498600407,0.016858479738767647,0
29,30,30,22.90750780826857,911.6224938180791,1072.545635214755,3213.5328563235717,911.6323128233176,1072.6335263181793,2617.975307429802,0.2704391185691046,0.27044492648331364,105.5996915247491,625,1,0.9809142968955017,0.013972490410911774,0
30,31,31,25.302564668418157,332.8734353135559,1166.0399512961367,31201.486368523216,332.81535539827337,1166.1664927642025,53697.25170340179,0.2389390350513627,0.23896979820865336,1913.838788601893,625,1,0.7690100986652507,0.01640501212904916,0
31,32,32,29.350549177689985,1381.2014437216703,1177.784793501269,44184.99421556672,1381.176731984424,1177.8859955850342,76502.1271487437,0.24739942326978734,0.24737618820749696,2822.8761584663375,625,1,0.8012675571054861,0.01656098407965996,0
32,33,33,49.89855388143789,1826.8601197936277,1214.7873431820346,39342.07582482432,1826.383532536914,1214.9788709535335,66260.08353409343,0.24155928222822057,0.2414842548407932,2386.824181661799,625,1,0.8493440517080756,0.015297561833595236,0
33,34,34,22.787701712714302,359.2912566400095,1217.344157033371,2692.1522681658757,359.25419317223987,1217.5791228873618,1697.11153585634,0.31555882310912975,0.31567374701847883,79.88142136643417,625,1,1.2304684916668,0.01777835371574838,0
34,35,35,50.33810965724723,126.98136119517967,1221.536811422146,214177.8912085558,126.93747893639245,1221.6343891250292,385224.0316696942,0.24145244839294303,0.24149414193119875,13874.587243717728,625,1,0.780148356094484,0.015287731782559861,0
35,36,36,23.907371074595353,1855.3195569937618,1247.7509243927548,2523.965666003732,1854.7346342656579,1247.4988844989614,1298.061334823076,0.3341418576203702,0.33412368446572216,64.68960946129332,625,1,1.3786302412512026,0.015708312681034547,0
36,37,37,28.610217060186926,1824.345136112683,1282.0662036768956,22163.77478767499,1824.3012345895927,1282.120411366961,36173.217367580386,0.25347856924780165,0.2534187039648201,1367.4028768577293,625,1,0.8341877982733487,0.01680929504947522,0
37,38,38,23.73213446293778,1044.0528898990474,1309.732503377185,3710.306284840473,1043.998010237745,1309.777264245912,3302.0710755029736,0.29078966310250093,0.2908069698831291,143.22704783204364,625,1,1.065730611780211,0.01861029702345737,0
38,39,39,30.183847989534073,656.8283143048246,1314.5990475656288,51726.603159592654,656.7722609043167,1314.6784853852819,90236.96054954488,0.24510017073138496,0.24512973367568,3299.06585230481,625,1,0.7923293162456234,0.015439046326115197,0
39,40,40,33.367279950310206,2031.2965425562043,1333.4879483728785,136811.7576904516,2031.1985962792048,1333.5466375477993,245846.59350537814,0.26256518180603927,0.26256695666741875,9626.739674762566,625,1,0.8087996690591757,0.017720184048668798,0
40,41,41,30.651876854773008,1803.310002615935,1423.0758564754042,46858.43435146864,1803.2613131982876,1423.1606935178052,81145.86515154873,0.24894831974902681,0.24890875211799288,3012.7417516641594,625,1,0.8081927639831743,0.016318444625736006,0
41,42,42,23.739780531091206,597.5429049151046,1428.896513094498,4079.7065995622634,597.5111044763269,1428.8615863551827,3992.8423379220276,0.27417798231979895,0.2741798549819286,163.28118234022574,625,1,0.9800562232335565,0.015860145322424808,0
42,43,43,29.08457815708259,240.50586925727842,1431.0543439696273,40709.12372234906,240.4461781995977,1431.1486523552749,70492.76996206114,0.24954117450141036,0.24954440371002523,2623.5481739364905,625,1,0.831206787068907,0.015643114067981058,0
43,44,44,24.602894844946924,86.4906696516177,1476.9673418746559,2886.016411212403,86.56646957647017,1476.9195216319222,1693.8065828379267,0.2992953228931757,0.2992828846664989,75.60609944433028,625,1,1.3050470425889817,0.012450488205604548,0
44,45,45,25.403139682345923,1761.076786407985,1478.711686467749,7191.11767210263,1761.0166664844337,1478.8527959345997,9333.00066327021,0.26646225924066147,0.2664386179678815,370.9240924859122,625,1,0.9114303528704981,0.017610069257501644,0
45,46,46,24.07142542575268,1131.178391924507,1497.8164217872882,5028.7222162536145,1131.1604429943852,1497.8858981271794,5636.390908221538,0.2772242673504513,0.2772356372905968,233.0685658908287,625,1,0.9441075662394982,0.0178770274706052,0
