,field,candidate id,object id,object ra,object dec,object MJD,object filter,object magnitude,object magnitude error,object real/bogus score,exposure id,mean seeing,airmass,object datetime,parallactic angle
4223,COSMOS,DC21fyws,681400,150.82938282394,2.73820201402,59322.07987078,r,20.922,0.016,1.0,544,0.884,1.23,2021-04-18 01:55:00.835392,159.55091188240598
4224,COSMOS,DC21fyws,10063528,150.8293430715,2.73823720067,59322.08122086,i,20.779,0.021,1.0,2029,0.891,1.23,2021-04-18 01:56:57.482304,158.88795794053163
4225,COSMOS,DC21gfcz,684526,150.82861048821,2.73871355086,59322.11203207,g,21.46,0.021,1.0,553,0.944,1.33,2021-04-18 02:41:19.570848,145.75283274998478
4226,COSMOS,DC21gfcz,688073,150.82857531215,2.73874572355,59322.11304963,r,20.875,0.013,1.0,554,0.796,1.33,2021-04-18 02:42:47.488032,145.38504031346145
4227,COSMOS,DC21gfcz,10064719,150.82853772995,2.73876932873,59322.11439555,i,20.756,0.015,0.998,2032,0.743,1.34,2021-04-18 02:44:43.775520,144.90484434749789
4228,COSMOS,DC21gfcz,694827,150.82831759744,2.73891922367,59322.12466261,g,21.455,0.022,1.0,562,0.999,1.39,2021-04-18 02:59:30.849504,141.47116422420925
4229,COSMOS,DC21gfcz,702882,150.82827668059,2.73895846163,59322.12567475,r,20.898,0.014,1.0,563,0.847,1.39,2021-04-18 03:00:58.298400,141.1539773216107
4230,COSMOS,DC21gfcz,10065627,150.82824264138,2.73898440554,59322.12699319,i,20.733,0.016,1.0,2035,0.778,1.4,2021-04-18 03:02:52.211616,140.74635077500315
4231,COSMOS,DC21bcirb,3109868,150.65622110721,3.03551298618,59372.95963224,g,22.455,0.086,0.433,1435,1.31,1.28,2021-06-07 23:01:52.225536,150.8653072830196
4232,COSMOS,DC21bcirb,3109581,150.65659082352,3.03550628649,59372.96090051,g,22.384,0.068,0.778,1436,1.187,1.28,2021-06-07 23:03:41.804064,150.34407547346427
4233,COSMOS,DC21bcirb,3114625,150.65689712083,3.03543584598,59372.96215702,r,21.816,0.057,1.0,1437,1.062,1.29,2021-06-07 23:05:30.366528,149.83400909636717
4234,COSMOS,DC21jsaq,11990756,150.73266266886,3.06366768021,59355.97927363,g,21.016,0.069,0.633,7628,1.583,1.22,2021-05-21 23:30:09.241632,163.4859600420169
4235,COSMOS,DC21jsaq,1210427,150.732871527,3.06370986489,59355.98053882,g,20.959,0.057,1.0,1032,1.436,1.22,2021-05-21 23:31:58.554048,162.8353390907792
4236,COSMOS,DC21jsaq,1213525,150.73306095406,3.06370001266,59355.98181258,r,20.333,0.031,1.0,1033,1.384,1.22,2021-05-21 23:33:48.606912,162.18561127850606
4237,COSMOS,DC21jsaq,1210575,150.73322791962,3.06369378394,59355.98295834,r,20.293,0.027,1.0,1034,1.269,1.22,2021-05-21 23:35:27.600576,161.60586716407278
4238,COSMOS,DC21jnwb,1185720,150.89212770478,3.05396663783,59352.00407323,g,20.668,0.034,1.0,1011,1.424,1.24,2021-05-18 00:05:51.927072,156.855598020345
4239,COSMOS,DC21jnwb,1186589,150.89228336395,3.05390050794,59352.00532021,g,20.677,0.032,1.0,1012,1.3,1.25,2021-05-18 00:07:39.666144,156.2749463248209
4240,COSMOS,DC21juom,1225150,151.08191604777,3.04842752964,59358.00342262,g,20.953,0.058,1.0,1052,1.136,1.29,2021-05-24 00:04:55.714368,150.19402386519292
4241,COSMOS,DC21juom,1225639,151.08213954097,3.04838301694,59358.00468874,g,20.961,0.058,0.999,1053,1.092,1.29,2021-05-24 00:06:45.107136,149.68205166270909
4242,COSMOS,DC21juom,1231215,151.0823900844,3.04836268063,59358.00596209,r,20.493,0.031,1.0,1054,0.935,1.3,2021-05-24 00:08:35.124576,149.17374697051434
4243,COSMOS,DC21firo,560474,148.94591178368,3.17651144308,59319.04774998,g,22.316,0.054,1.0,476,1.024,1.19,2021-04-15 01:08:45.598272,178.6608972766063
4244,COSMOS,DC21firo,562173,148.94589088904,3.17653141754,59319.04876279,r,21.777,0.037,1.0,477,0.877,1.19,2021-04-15 01:10:13.105056,178.08629383785362
4245,COSMOS,DC21firo,10047829,148.94585541449,3.17656632029,59319.0500871,i,21.549,0.043,1.0,2006,0.809,1.19,2021-04-15 01:12:07.525440,177.335641686384
4246,COSMOS,DC21firo,571466,148.9455738304,3.17687352845,59319.06079798,g,22.332,0.06,1.0,486,1.064,1.2,2021-04-15 01:27:32.945472,171.32803024217802
4247,COSMOS,DC21firo,573949,148.94551729078,3.17688509333,59319.06182515,r,21.737,0.042,1.0,487,0.998,1.2,2021-04-15 01:29:01.692960,170.76094259441126
4248,COSMOS,DC21frqh,606217,148.94413657477,3.17831584584,59319.11367262,g,22.429,0.064,1.0,505,1.036,1.3,2021-04-15 02:43:41.314368,146.5234486805224
4249,COSMOS,DC21frqh,608275,148.9440776462,3.1783357579,59319.11471672,r,21.746,0.035,1.0,506,0.918,1.31,2021-04-15 02:45:11.524608,146.14129200671888
4250,COSMOS,DC21frqh,622726,148.94377080302,3.1786564482,59319.12633546,g,22.259,0.058,1.0,514,1.105,1.35,2021-04-15 03:01:55.383744,142.17033525053606
4251,COSMOS,DC21fzvp,652188,149.02894475422,3.1616921497,59322.06624931,g,22.381,0.078,0.56,534,1.176,1.21,2021-04-18 01:35:23.940384,164.11533598829524
